,$\lambda$,$\lambda$,$\mathbf{b}_{\mathrm{type}}$,$\mathbf{b}_{\mathrm{type}}$,$\mathbf{b}\lambda_{\mathrm{ratio}}$,$\mathbf{b}\lambda_{\mathrm{ratio}}$,$\mathrm{X}$,$\mathrm{X}$,$P[\mathrm{X}]$,$P[\mathrm{X}]$,$\beta_{\mathrm{min}}$,$\beta_{\mathrm{min}}$,$\beta_{\mathrm{max}}$,$\beta_{\mathrm{max}}$,$\lambda$,$\lambda$,$\mathbf{b}_{\mathrm{type}}$,$\mathbf{b}_{\mathrm{type}}$,$\mathbf{b}\lambda_{\mathrm{ratio}}$,$\mathbf{b}\lambda_{\mathrm{ratio}}$,$\mathrm{X}$,$\mathrm{X}$,$P[\mathrm{X}]$,$P[\mathrm{X}]$,$\beta_{\mathrm{min}}$,$\beta_{\mathrm{min}}$,$\beta_{\mathrm{max}}$,$\beta_{\mathrm{max}}$,index
0,0.0,1.0,-5.9856858562756585,1.1769998715777011e-07,0.8538731240159632,0.39646241280932115,0.814690525065851,0.4183678620215867,0.2669929088419829,0.790360699779238,0.8465639878126364,0.40049400028865934,0.751645271799792,0.4551082906893157,-1.192923424368324,0.23744463500972585,-6.34055267298943,2.9342817014723932e-08,-0.764500503829766,0.4474690533934371,0.6148812244600451,0.5408833953288108,-0.07415413424972092,0.9411264747329829,0.5875950208015448,0.5589382159637111,1.1033596277329907,0.2741352272192886,$\lambda$
1,5.9856858562756585,1.1769998715777011e-07,0.0,1.0,7.045742558190526,1.7918439777081185e-09,7.498723293932582,2.9353811184093456e-10,7.131669057012325,1.2719442454984262e-09,7.53566488631567,2.532329188657312e-10,7.390871406249757,4.5175128622010216e-10,4.79118915341002,1.0730010433015168e-05,-0.21146250544327333,0.833219952938717,4.902260153630917,7.153606953638058e-06,6.794513871809308,4.870659236084162e-09,6.30576919118789,3.364502518481256e-08,7.459654317897184,3.4316020337834386e-10,8.261417014496685,1.394090826817966e-11,$\mathbf{b}_{\mathrm{type}}$
2,-0.8538731240159632,0.39646241280932115,-7.045742558190526,1.7918439777081185e-09,0.0,1.0,-0.10301175181326719,0.9182861157717629,-0.6951827765306813,0.48953813314126393,-0.07058142772361783,0.9439580658777936,-0.16273863045455253,0.8712534909335561,-2.0845982868600044,0.04123136150662058,-7.444249275324046,3.6495680145904895e-10,-1.5964520377526001,0.11547287550843592,-0.24520170578631162,0.8071100589255542,-0.9843292521981414,0.3287794095144271,-0.3627427972857233,0.7180307297069715,0.1385226817545995,0.8902762882728328,$\mathbf{b}\lambda_{\mathrm{ratio}}$
3,-0.814690525065851,0.4183678620215867,-7.498723293932582,2.9353811184093456e-10,0.10301175181326719,0.9182861157717629,0.0,1.0,-0.6450815678070707,0.5212543361008581,0.035366226734543586,0.9719013346985136,-0.06561634229262941,0.9478944004932276,-2.1349713547001965,0.03672284032922273,-7.962330583312249,4.5999096700535523e-11,-1.604149565914348,0.11376354837132463,-0.16069076718504216,0.8728593990682655,-0.9573830688614543,0.3420923819313303,-0.28113062501570707,0.7795463130275676,0.2735291314137881,0.7853556538086105,$\mathrm{X}$
4,-0.2669929088419829,0.790360699779238,-7.131669057012325,1.2719442454984262e-09,0.6951827765306813,0.48953813314126393,0.6450815678070707,0.5212543361008581,0.0,1.0,0.6820983962351481,0.4977171465530713,0.5723680236142393,0.5691424234685393,-1.6197822598181177,0.1103549545533715,-7.606639467727496,1.9066558668289555e-10,-1.105396720234921,0.27325883816616076,0.4234898458287601,0.6734034384602892,-0.3731790516746575,0.7102880809835528,0.3766833579931685,0.7076950454922969,0.9840250796766785,0.3289277429114096,$P[\mathrm{X}]$
5,-0.8465639878126364,0.40049400028865934,-7.53566488631567,2.532329188657312e-10,0.07058142772361783,0.9439580658777936,-0.035366226734543586,0.9719013346985136,-0.6820983962351481,0.4977171465530713,0.0,1.0,-0.1007736553972772,0.9200553161802139,-2.1677534877094042,0.03402530860702146,-8.000812351636343,3.944439259805415e-11,-1.6346441136368501,0.10719152124897353,-0.1932391290749022,0.8474033496223746,-0.9917136594762187,0.3251919455593877,-0.31786196541512357,0.7516577750079053,0.23560336322097,0.8145169755968558,$\beta_{\mathrm{min}}$
6,-0.751645271799792,0.4551082906893157,-7.390871406249757,4.5175128622010216e-10,0.16273863045455253,0.8712534909335561,0.06561634229262941,0.9478944004932276,-0.5723680236142393,0.5691424234685393,0.1007736553972772,0.9200553161802139,0.0,1.0,-2.0638529663728917,0.04322339810790649,-7.846540513154422,7.306526944230148e-11,-1.5406911440135016,0.1284807208381627,-0.09943330238424977,0.9211150510527929,-0.8884797203929974,0.3777168627605123,-0.2112487314885353,0.8333860227175885,0.34194619201462956,0.7335477730326241,$\beta_{\mathrm{max}}$
7,1.192923424368324,0.23744463500972585,-4.79118915341002,1.0730010433015168e-05,2.0845982868600044,0.04123136150662058,2.1349713547001965,0.03672284032922273,1.6197822598181177,0.1103549545533715,2.1677534877094042,0.03402530860702146,2.0638529663728917,0.04322339810790649,0.0,1.0,-5.119590443909396,3.2044600377632743e-06,0.3693088154589104,0.7131558855587814,1.8434105974398327,0.070049779773061,1.191165527092654,0.23812883798294518,1.9416671748519598,0.05672495215569417,2.508262627496322,0.01476319081711694,$\lambda$
8,6.34055267298943,2.9342817014723932e-08,0.21146250544327333,0.833219952938717,7.444249275324046,3.6495680145904895e-10,7.962330583312249,4.5999096700535523e-11,7.606639467727496,1.9066558668289555e-10,8.000812351636343,3.944439259805415e-11,7.846540513154422,7.306526944230148e-11,5.119590443909396,3.2044600377632743e-06,0.0,1.0,5.20690700578268,2.312901587868263e-06,7.186125188257153,1.0234928709354626e-09,6.706352300224858,6.912060825980202e-09,7.944457274573305,4.940411001983072e-11,8.80467132761946,1.6088857685480726e-12,$\mathbf{b}_{\mathrm{type}}$
9,0.764500503829766,0.4474690533934371,-4.902260153630917,7.153606953638058e-06,1.5964520377526001,0.11547287550843592,1.604149565914348,0.11376354837132463,1.105396720234921,0.27325883816616076,1.6346441136368501,0.10719152124897353,1.5406911440135016,0.1284807208381627,-0.3693088154589104,0.7131558855587814,-5.20690700578268,2.312901587868263e-06,0.0,1.0,1.3684109860736184,0.17612194849768886,0.7356919803641472,0.46469235195290315,1.4072653242182473,0.16434236323022583,1.9155479371123274,0.060037367826935854,$\mathbf{b}\lambda_{\mathrm{ratio}}$
10,-0.6148812244600451,0.5408833953288108,-6.794513871809308,4.870659236084162e-09,0.24520170578631162,0.8071100589255542,0.16069076718504216,0.8728593990682655,-0.4234898458287601,0.6734034384602892,0.1932391290749022,0.8474033496223746,0.09943330238424977,0.9211150510527929,-1.8434105974398327,0.070049779773061,-7.186125188257153,1.0234928709354626e-09,-1.3684109860736184,0.17612194849768886,0.0,1.0,-0.7301518969450285,0.4680473182751389,-0.09152845310513874,0.9273677854312672,0.4190478124810372,0.6766294676036193,$\mathrm{X}$
11,0.07415413424972092,0.9411264747329829,-6.30576919118789,3.364502518481256e-08,0.9843292521981414,0.3287794095144271,0.9573830688614543,0.3420923819313303,0.3731790516746575,0.7102880809835528,0.9917136594762187,0.3251919455593877,0.8884797203929974,0.3777168627605123,-1.191165527092654,0.23812883798294518,-6.706352300224858,6.912060825980202e-09,-0.7356919803641472,0.46469235195290315,0.7301518969450285,0.4680473182751389,0.0,1.0,0.7186893794596179,0.47503223951147,1.2845220376135724,0.20373818042653943,$P[\mathrm{X}]$
12,-0.5875950208015448,0.5589382159637111,-7.459654317897184,3.4316020337834386e-10,0.3627427972857233,0.7180307297069715,0.28113062501570707,0.7795463130275676,-0.3766833579931685,0.7076950454922969,0.31786196541512357,0.7516577750079053,0.2112487314885353,0.8333860227175885,-1.9416671748519598,0.05672495215569417,-7.944457274573305,4.940411001983072e-11,-1.4072653242182473,0.16434236323022583,0.09152845310513874,0.9273677854312672,-0.7186893794596179,0.47503223951147,0.0,1.0,0.5889021013368464,0.5580665486374677,$\beta_{\mathrm{min}}$
13,-1.1033596277329907,0.2741352272192886,-8.261417014496685,1.394090826817966e-11,-0.1385226817545995,0.8902762882728328,-0.2735291314137881,0.7853556538086105,-0.9840250796766785,0.3289277429114096,-0.23560336322097,0.8145169755968558,-0.34194619201462956,0.7335477730326241,-2.508262627496322,0.01476319081711694,-8.80467132761946,1.6088857685480726e-12,-1.9155479371123274,0.060037367826935854,-0.4190478124810372,0.6766294676036193,-1.2845220376135724,0.20373818042653943,-0.5889021013368464,0.5580665486374677,0.0,1.0,$\beta_{\mathrm{max}}$
